Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
0.1,0.7568786484854562,20.169619696480886,0.19259429022869362,10.606149673461914,0.27504071380410877,-1.0,-1.0,-1.0,0.38974112272262573,-1.0,3.0249693053109303,7.938543404851641,544948800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.69225466251373,545000000.0,-1.0,8622903.714285715,151.09048897879464,832576445.2857143,14874246.446986606,2597410.5714285714,655947931.4285715,-1.0,-1.0,-1.0,57509060.571428575,8239112.875558035,1269682253.044643,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.11,2.3517338037490845,21.429182325090682,0.14936855116060802,11.34556497846331,0.3110464180686644,-1.0,-1.0,-1.0,0.6809510333197457,-1.0,2.784163611275809,8.066827212061202,544901632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.9213923726763,545000000.0,-1.0,9298015.476841519,190.437739780971,819078541.7142857,16865497.655691963,2324865.964285714,643902683.4285715,-1.0,-1.0,-1.0,60005037.71428572,9220048.137276785,1095017935.529018,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.12,0.7849563700812203,19.43109348842076,0.09272599203645115,11.06226212637765,0.2172598945243018,-1.0,-1.0,-1.0,0.40314145599092754,-1.0,3.1713833808898926,4.167777172156742,544908315.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.25774959155491,545000000.0,-1.0,10782591.42857143,199.32188633510046,977916791.5970982,19815364.57142857,24645716.57142857,749194514.2857143,-1.0,-1.0,-1.0,70045996.57142857,10768689.285714285,1314248218.9776785,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.13,2.9467118978500366,22.018166950770787,0.03155781388548867,11.003464835030693,0.2916318454912731,-1.0,-1.0,-1.0,13.019879732813154,-1.0,8.39222138268607,7.96612491777965,544896722.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.31689471857889,545000000.0,-1.0,10889105.185546875,199.93059866768974,957844407.7142857,19819573.57142857,3153213.0,756681362.2857143,-1.0,-1.0,-1.0,71044189.71428572,10810864.82142857,1305951971.1785715,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.14,0.9476796218327114,27.69436264038086,0.10867026528077464,11.221090044294085,0.2821222139256341,-1.0,-1.0,-1.0,0.5542591725076947,-1.0,3.8618506022862027,18.487232063497817,544908059.4285715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.768139600753784,545000000.0,-1.0,10330172.57142857,193.86704799107142,899093173.5580357,19026216.57142857,2632708.96875,709479683.7142857,-1.0,-1.0,-1.0,67346873.14285715,10333043.07142857,1215558163.841518,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.15,1.1862154006958008,21.40000070631504,0.014212162832596445,15.494207654680524,0.4128840906279428,-1.0,-1.0,-1.0,0.5173151663371495,-1.0,4.65909651347569,9.371426437582288,544894656.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.8552976335798,545000000.0,-1.0,9969368.214285715,203.9656502859933,862148352.0,18160864.14285714,2522743.4821428573,675161750.8571428,-1.0,-1.0,-1.0,64818657.71428572,9935629.5,1147366490.310268,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.16,0.8012667894363403,16.98967524937221,0.03995807349149668,11.134739739554268,0.31349576796804157,-1.0,-1.0,-1.0,0.4117835078920637,-1.0,3.0475168909345354,5.509249482836042,544953161.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.75346905844552,545000000.0,-1.0,10596786.142857144,197.777348109654,894408082.2857143,19395157.714285713,2722470.5714285714,722142153.1428572,-1.0,-1.0,-1.0,69346822.85714285,10567012.0,1238081035.408482,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.17,0.63595221723829,22.905087607247488,0.05113619659096001,12.11417361668178,0.41396687898252693,-1.0,-1.0,-1.0,0.410468476159232,-1.0,2.862577097756522,0.31622820241110666,544905645.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.556992173194885,545000000.0,-1.0,8228781.142857143,94.49555315290179,681255378.2857143,14793831.93861607,2086416.25,530485693.71428573,-1.0,-1.0,-1.0,51781425.14285714,8124906.224330357,883823044.2276785,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.18,0.8558494022914341,16.45138958522252,0.1710819431713649,11.361548015049525,0.3325578197836876,-1.0,-1.0,-1.0,0.46106512205941336,-1.0,2.8101546423775807,7.713560172489712,544942921.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.938583271844045,545000000.0,-1.0,8986967.857142856,145.4454302106585,842723850.0714285,18300182.210100446,2639787.6428571427,676849353.1428572,-1.0,-1.0,-1.0,62927500.571428575,9583977.781529019,1010804238.671875,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.19,0.5603337585926056,23.914338520595006,0.012201824524838987,12.673146384102958,0.3088037541934422,-1.0,-1.0,-1.0,0.4025994709559849,-1.0,2.4917400905064175,17.684977173805237,544886326.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.73053870882307,545000000.0,-1.0,6228454.714285715,206.05528041294642,427732548.5714286,10732463.214285715,1018790.6875,310477396.5714286,-1.0,-1.0,-1.0,34701294.85714286,6037216.285714285,666340594.7566965,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.2,0.7780051912580218,19.372051239013672,0.285925768182746,11.006178992135185,0.28663013130426407,-1.0,-1.0,-1.0,0.39125366721834454,-1.0,3.145382744925363,9.11416985307421,544939456.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.89412789685385,545000000.0,-1.0,8737525.42857143,146.57408360072546,899678592.0,15035783.888392856,2926257.3571428573,720290459.4285715,-1.0,-1.0,-1.0,58530819.428571425,8303036.174107143,1295915325.40625,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.21,0.8987587903227124,28.573327200753347,0.04513728605317215,15.255786078316826,0.3186421181474413,-1.0,-1.0,-1.0,0.5459024224962506,-1.0,3.715954167502267,9.474154046603612,544887268.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.287858963012695,545000000.0,-1.0,10947163.0,205.20614188058036,966546717.9500558,19880423.35714286,2893717.1785714286,762444498.2857143,-1.0,-1.0,-1.0,71721180.0,10850034.214285715,1325833180.8080356,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.22,1.1651913608823503,21.484378829598427,0.30220261508865015,14.980624335152763,0.324813757623945,-1.0,-1.0,-1.0,0.5396564688001361,-1.0,4.271164212908064,8.390010918889727,544932004.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.788800035204204,545000000.0,-1.0,10461002.357142856,189.78912789481026,911707803.4285715,19152661.07142857,2602111.8928571427,721354212.5714285,-1.0,-1.0,-1.0,67822623.42857143,10427301.392857144,1234248863.9129465,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.23,10.98980724811554,30.550835473196848,0.17176080801125085,10.884097508021764,0.252218241670302,-1.0,-1.0,-1.0,2.020312905311585,-1.0,2.8320630618504117,17.777876564434596,544888576.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.91517666407994,545000000.0,-1.0,10756759.555036273,196.2785382952009,1354463268.5714285,19744590.53404018,3049623.5714285714,1157538578.2857144,-1.0,-1.0,-1.0,70799114.28571428,10735643.24609375,1322969732.8325894,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.24,0.9373827661786761,28.047733579363143,0.09762026795319147,11.201127188546318,0.3018513313893761,-1.0,-1.0,-1.0,0.5874433262007577,-1.0,4.176497731889997,9.0536487528256,544912173.7142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.49543925694057,545000000.0,-1.0,10413712.0,186.22607421875,908670905.7142857,19044400.350864954,2530571.785714286,717806006.8571428,-1.0,-1.0,-1.0,68445732.57142857,10367082.350864956,1229102395.4330356,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.25,1.103418963296073,21.523581286626204,0.041125928816784695,15.964393615722656,0.2860495788710458,-1.0,-1.0,-1.0,0.5281724333763123,-1.0,4.599767684936523,8.257655688694545,545062432.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.44153778893607,545000000.0,-1.0,10443700.5,194.75953892299108,909778624.0,19081034.14285714,2606586.714285714,717133494.8571428,-1.0,-1.0,-1.0,68760489.14285715,10401784.5,1228282001.080357,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.26,0.742182799748012,19.54204831804548,0.21697351336479184,11.296747752598353,0.3458789757319859,-1.0,-1.0,-1.0,0.4279089570045472,-1.0,2.8239639145987376,9.643432753426689,544890532.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.57752582005092,545000000.0,-1.0,10488396.285714285,144.90813337053572,905298432.0,19290861.714285713,2896906.4285714286,733080941.7142857,-1.0,-1.0,-1.0,69308550.85714285,10492166.0,1143300190.3058035,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.27,0.699950133051191,14.203704510416303,0.060503103903361714,9.874004364013672,0.2116765986595835,-1.0,-1.0,-1.0,0.28591288626194,-1.0,1.9731436456952776,0.3991085886955261,544912694.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.46186678750175,545000000.0,-1.0,8451886.973214285,145.6626194545201,678748000.0,15085864.94252232,2120110.5,535259729.71428573,-1.0,-1.0,-1.0,53729913.14285714,8280639.114397322,1013392124.7120535,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.28,0.563606892313276,10.769521168300082,0.042874429907117574,7.558452061244419,0.1904018626415304,-1.0,-1.0,-1.0,0.30271211692265104,-1.0,1.77845641544887,7.671070286205838,544912082.2857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.29167224679674,545000000.0,-1.0,7982281.0,147.2830810546875,661054424.0,16341686.746651785,1494988.357142857,509925156.5714286,-1.0,-1.0,-1.0,50411368.0,8535141.88950893,764692115.9553572,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.29,0.7646965299333844,19.3814879826137,0.029441622351961457,11.701057979038783,0.1864369171006339,-1.0,-1.0,-1.0,0.4180300235748291,-1.0,3.408123288835798,11.57638428892408,544905792.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.88104575020926,545000000.0,-1.0,6560277.0,189.0910862513951,642232576.0,11797981.0,2217244.464285714,508013750.85714287,-1.0,-1.0,-1.0,48153499.428571425,6516893.428571428,865414288.7299107,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.3,0.6757814501013074,21.419200352260045,0.008116152869271372,11.188135419573102,0.2297714991228921,-1.0,-1.0,-1.0,0.38081646817071096,-1.0,2.818389824458531,8.510360641138893,544946633.1428572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.48579897199359,545000000.0,-1.0,7732051.857142857,139.72416469029017,724723648.0,13011148.5,2104015.8928571427,563310203.4285715,-1.0,-1.0,-1.0,49190829.14285714,7251955.285714285,1115110729.8839285,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.31,0.7753736121313912,19.099859510149276,0.46634972521236967,11.222087042672294,0.31774780952504705,-1.0,-1.0,-1.0,0.4052341069493975,-1.0,3.3208873612540115,6.6499638727733075,544889956.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.80223868574415,545000000.0,-1.0,10506828.42857143,192.4461669921875,889395124.5714285,19461069.591936383,2478825.6428571427,713493906.2857143,-1.0,-1.0,-1.0,66609304.0,10526195.020507812,1211686183.8392856,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.32,0.9477795107024056,27.828070776803152,0.016096476798078827,14.577034269060407,0.42458958285195486,-1.0,-1.0,-1.0,0.5533623610224042,-1.0,3.729709897722517,17.755188226699833,544901284.5714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.615316935947966,545000000.0,-1.0,10815882.57142857,206.90738786969865,948800100.5714285,19694378.285714287,2963400.464285714,749050537.1428572,-1.0,-1.0,-1.0,70170780.57142857,10743170.92857143,1297785836.4620535,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
0.33,0.976101449557713,27.300527027675084,0.0568191975222102,14.709683554513115,0.42600858211517334,-1.0,-1.0,-1.0,0.5537379043442863,-1.0,3.787912505013602,16.319385494504655,544982166.8571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.58280890328543,545000000.0,-1.0,10763427.285714285,203.47746930803572,947153197.7142857,19672893.14285714,2774872.6428571427,747913805.7142857,-1.0,-1.0,-1.0,70208288.57142857,10716406.857142856,1288340011.3058035,0.8303509950637817,263.5,32.0,7094.0,1.0,16.43876838684082,2621.0,4754803452.0,1920.0,3.0,53.0,48.0,45.0,57.0,40.0,39.0,90.0,545.0,2.0,35.002726316452026,1.0811686515808103,3196.0,0.5,2.5107741355896
